Date,Gold
2020/12/16,1864.99
2020/12/17,1886.21
2020/12/18,1880.7
2020/12/19,1880.7
2020/12/20,1880.7
2020/12/21,1877.84
2020/12/22,1861
2020/12/23,1873.86
2020/12/24,1880.26
2020/12/25,1880.26
2020/12/26,1880.26
2020/12/27,1880.26
2020/12/28,1874.22
2020/12/29,1879.46
2020/12/30,1895.5
2020/12/31,1893.9
2021/1/1,1893.9
2021/1/2,1893.9
2021/1/3,1893.9
2021/1/4,1943.25
2021/1/5,1950.78
2021/1/6,1919.49
2021/1/7,1914.44
2021/1/8,1847.59
2021/1/9,1847.59
2021/1/10,1847.59
2021/1/11,1843.59
2021/1/12,1855.62
2021/1/13,1845.75
2021/1/14,1846.76
2021/1/15,1827.34
2021/1/16,1827.34
2021/1/17,1827.34
2021/1/18,1838.11
2021/1/19,1840.86
2021/1/20,1872.27
2021/1/21,1871.4
2021/1/22,1854.57
2021/1/23,1854.57
2021/1/24,1854.57
2021/1/25,1856.57
2021/1/26,1851.54
2021/1/27,1844.94
2021/1/28,1843.15
2021/1/29,1849.53
2021/1/30,1849.53
2021/1/31,1849.53
2021/2/1,1861.44
2021/2/2,1839.69
2021/2/3,1834.55
2021/2/4,1794.83
2021/2/5,1814.74
2021/2/6,1814.74
2021/2/7,1814.74
2021/2/8,1831.08
2021/2/9,1839.4
2021/2/10,1843.83
2021/2/11,1825.78
2021/2/12,1824.91
2021/2/13,1824.91
2021/2/14,1824.91
2021/2/15,1819.14
2021/2/16,1795.06
2021/2/17,1776.56
2021/2/18,1776.15
2021/2/19,1784.57
2021/2/20,1784.57
2021/2/21,1784.57
2021/2/22,1810.09
2021/2/23,1806.25
2021/2/24,1805.37
2021/2/25,1770.77
2021/2/26,1735
2021/2/27,1735
2021/2/28,1735
2021/3/1,1725.23
2021/3/2,1738.79
2021/3/3,1711.64
2021/3/4,1697.75
2021/3/5,1701.52
2021/3/6,1701.52
2021/3/7,1701.52
2021/3/8,1683.78
2021/3/9,1716.44
2021/3/10,1727.03
2021/3/11,1722.76
2021/3/12,1727.44
2021/3/13,1727.44
2021/3/14,1727.44
2021/3/15,1732.04
2021/3/16,1731.62
2021/3/17,1745.5
2021/3/18,1736.89
2021/3/19,1745.66
2021/3/20,1745.66
2021/3/21,1745.66
2021/3/22,1739.33
2021/3/23,1727.37
2021/3/24,1735.32
2021/3/25,1727.53
2021/3/26,1732.83
2021/3/27,1732.83
2021/3/28,1732.83
2021/3/29,1712.5
2021/3/30,1685.52
2021/3/31,1708.06
2021/4/1,1729.66
2021/4/2,1737.06
2021/4/3,1737.06
2021/4/4,1737.06
2021/4/5,1728.67
2021/4/6,1743.53
2021/4/7,1738.02
2021/4/8,1755.93
2021/4/9,1744.31
2021/4/10,1744.31
2021/4/11,1744.31
2021/4/12,1733.48
2021/4/13,1745.7
2021/4/14,1736.77
2021/4/15,1764.43
2021/4/16,1776.08
